Questions,Answers,Label,Source
How does Elder describe the three pillars of successful trading?,"Elder describes three pillars: analysing the balance of power between bulls and bears (Method), practising good money management (Money), and maintaining personal discipline to follow a trading plan without getting emotionally 'high' or depressed in the markets (Mind). All three must be present; remove any one and the structure collapses.",Psychology,Medium / Coinmonks – Trading for a Living by Alexander Elder | https://medium.com/coinmonks/trading-for-a-living-by-alexander-elder-fddd428eca5a
What does Elder say about traders who focus exclusively on technical systems?,"Elder repeatedly observes that focusing exclusively on technical systems is the typical beginner mistake. A brilliant system provides no protection against the psychological failures — overtrading, cutting winners early, holding losers too long, abandoning rules after a loss — that destroy accounts. The beginner who ignores Mind while mastering Method has built a three-legged stool with two legs.",Psychology,The New Trading for a Living – Elder (2014) | https://procapital.mohdfaiz.com/books/books-image/mainBook/The%20New%20Trading%20for%20a%20Living.pdf
What is Elder's view on the relationship between self-awareness and trading success?,"Elder teaches that self-awareness — the ongoing practice of observing your own mental states, emotional triggers, and habitual patterns of reaction — is as important as market analysis. A trader who understands their own impulses can interrupt them before they become costly decisions. Without self-awareness, the same psychological mistakes repeat in an endless cycle regardless of how much technical knowledge is accumulated.",Psychology,The New Trading for a Living – Elder (2014) | https://procapital.mohdfaiz.com/books/books-image/mainBook/The%20New%20Trading%20for%20a%20Living.pdf
What does Elder say about the psychological importance of keeping a trading diary?,"The trading diary is Elder's central tool for psychological development. Writing down the reasoning and emotional state at the time of every entry and exit forces honest self-reflection that is impossible when trades are remembered selectively. Over time, the diary reveals the trader's specific patterns of self-sabotage, enabling deliberate correction.",Psychology,The New Trading for a Living – Elder (2014) | https://procapital.mohdfaiz.com/books/books-image/mainBook/The%20New%20Trading%20for%20a%20Living.pdf
What is Elder's view on the psychiatrist's core skill as applied to trading?,"Elder identifies the common core of good psychiatry and good trading as the commitment to reality — seeing the world as it actually is rather than as one wishes it to be. Both disciplines demand that the practitioner confront uncomfortable facts without flinching, discarding fantasies and facing the evidence directly.",Psychology,The New Trading for a Living – Elder (2014) | https://procapital.mohdfaiz.com/books/books-image/mainBook/The%20New%20Trading%20for%20a%20Living.pdf
How does Elder's medical background shape his approach to trader psychology?,"Elder trained as a psychiatrist and practiced clinically while developing his trading career. This background gave him direct experience with the patterns of denial, self-sabotage, addiction, and compulsion that characterise many patients — and which he recognised identically in losing traders. His psychological framework for trading is not theoretical; it is derived from clinical observation of human behavioural failure.",Psychology,Elder.com – About Dr. Elder | https://www.elder.com/about
What does Elder mean by 'a trader is the weakest link in any trading system'?,"Even a well-designed, historically validated system can be undermined entirely by the human who operates it. The trader is the weakest link because they introduce discretion, emotion, and inconsistency into a process that works only when rules are followed precisely. Elder uses this insight to argue that reducing the trader's discretionary intervention — through pre-committed plans and mechanical rules — improves performance.",Psychology,Goodreads – Trading for a Living (community reviews & quotes) | https://www.goodreads.com/book/show/104311.Trading_for_a_Living
What does Elder say about the psychological goal of a successful trader?,"Elder writes that the paradoxical goal of a good trader is not to make money but to trade well. When the process is executed with discipline and analytical rigour, profits follow almost as a by-product. A trader obsessed with the dollar outcome distorts their decisions; a trader focused on process quality develops the consistency that produces profits.",Psychology,The New Trading for a Living – Elder (2014) | https://procapital.mohdfaiz.com/books/books-image/mainBook/The%20New%20Trading%20for%20a%20Living.pdf
How does Elder define 'discipline' in the context of trading psychology?,"For Elder, discipline means following a pre-written trading plan without deviation — entering when the rules say enter, exiting when the rules say exit, and respecting risk limits even when every emotion argues otherwise. Discipline is not a personality trait you either have or don't have; it is a learnable practice built through structured routines, pre-commitments, and honest self-review.",Psychology,The New Trading for a Living – Elder (2014) | https://procapital.mohdfaiz.com/books/books-image/mainBook/The%20New%20Trading%20for%20a%20Living.pdf
What does Elder say a trader must change to become a winner?,"Elder states directly: 'Winners think, feel and act differently than losers. Strip away your illusions and change your old way of being, thinking and acting.' This transformation is not primarily technical — it is psychological. The loser who simply learns more indicators without changing their emotional patterns will remain a loser. Genuine psychological change is the prerequisite for lasting improvement.",Psychology,Goodreads – Trading for a Living (community reviews & quotes) | https://www.goodreads.com/book/show/104311.Trading_for_a_Living
What is the 'brain myth' in trading psychology according to Elder?,"The brain myth is the fantasy that successful trading requires secret knowledge or special intelligence that ordinary people lack. Elder demolishes this belief, noting that many consistently profitable traders have modest formal education. The differentiating factor is not intelligence but the psychological capacity for discipline, self-awareness, and acceptance of reality.",Psychology,The New Trading for a Living – Elder (2014) | https://procapital.mohdfaiz.com/books/books-image/mainBook/The%20New%20Trading%20for%20a%20Living.pdf
What is the 'undercapitalisation myth' and why does Elder reject it?,The undercapitalisation myth is the belief that a trader fails only because their account is too small. Elder refutes this by pointing out that a losing trader will destroy a large account almost as quickly as a small one — because the problem is not capital but psychological: overtrading and poor emotional management. More capital without psychological change simply funds a larger version of the same destructive pattern.,Psychology,The New Trading for a Living – Elder (2014) | https://procapital.mohdfaiz.com/books/books-image/mainBook/The%20New%20Trading%20for%20a%20Living.pdf
What is the 'autopilot myth' in Elder's psychology framework?,"The autopilot myth is the fantasy that trading can be fully automated — that a purchased mechanical system will generate profits without psychological engagement. Elder rejects this completely. Markets constantly evolve, and rigid automated systems eventually fail when conditions change. Only a psychologically engaged human can detect trouble and adapt. Believing in the autopilot fantasy is a way of evading the uncomfortable work of self-development.",Psychology,The New Trading for a Living – Elder (2014) | https://procapital.mohdfaiz.com/books/books-image/mainBook/The%20New%20Trading%20for%20a%20Living.pdf
Why does Elder call fantasy the primary psychological enemy of the beginning trader?,"Beginning traders arrive with fantasies about easy money, foolproof systems, and their own special insight. These fantasies are incompatible with the market's ruthless reality. Every fantasy creates a bias — toward a preferred outcome — that distorts the reading of evidence, delays exits from losing trades, and inflates position sizes beyond what risk discipline allows.",Psychology,The New Trading for a Living – Elder (2014) | https://procapital.mohdfaiz.com/books/books-image/mainBook/The%20New%20Trading%20for%20a%20Living.pdf
What is the 'cult of personality' trap Elder identifies for traders?,"Traders under pressure seek a guru — an authority figure who will make decisions for them and relieve the psychological burden of independent judgment. Elder identifies this as a regressive fantasy: followers surrender their analytical responsibility to a charismatic personality. When the guru's predictions inevitably fail, the follower is left with neither a working method nor the self-developed judgment to replace it.",Psychology,The New Trading for a Living – Elder (2014) | https://procapital.mohdfaiz.com/books/books-image/mainBook/The%20New%20Trading%20for%20a%20Living.pdf
What are the three types of market gurus Elder identifies and why are they all psychologically dangerous?,"Elder identifies three types: market cycle gurus (who achieve fame during a bull market that happens to confirm their theory), magic method gurus (who sell proprietary systems), and dead gurus (whose methods are promoted by others after their deaths). All are psychologically dangerous because they reinforce the fantasy that someone else holds the key to trading success — externalising responsibility away from the individual.",Psychology,The New Trading for a Living – Elder (2014) | https://procapital.mohdfaiz.com/books/books-image/mainBook/The%20New%20Trading%20for%20a%20Living.pdf
How does Elder describe the 'universal fantasies' that distort traders' thinking?,"Drawing on his psychiatric training, Elder identifies several universal fantasies common to traders: that they were specially gifted at reading markets; that their losses were caused by external factors; that a bigger account would solve their problems; that automation would replace the need for discipline. Each fantasy is a defence mechanism that protects the ego from confronting the real cause of failure: emotional mismanagement.",Psychology,The New Trading for a Living – Elder (2014) | https://procapital.mohdfaiz.com/books/books-image/mainBook/The%20New%20Trading%20for%20a%20Living.pdf
What does Elder mean by 'trade with your eyes open'?,"Trading with eyes open means basing every decision on current, objective evidence rather than on hope, assumption, or wishful thinking. It means accepting what the market is showing — including unfavourable signals — without filtering the data through the lens of what the trader wants to be true. Elder identifies this realistic orientation as a core psychological skill that separates professionals from amateurs.",Psychology,The New Trading for a Living – Elder (2014) | https://procapital.mohdfaiz.com/books/books-image/mainBook/The%20New%20Trading%20for%20a%20Living.pdf
What is Elder's key insight from Dan Ariely's cheating experiment and how does it apply to trading?,"Elder references a Duke University experiment where subjects who cheated on a test continued to predict inflated scores on subsequent tests where cheating was impossible — because they had convinced themselves they were genuinely intelligent. Elder uses this to illustrate how traders rationalise past luck as skill, leading to dangerous overconfidence. The equity curve and trading journal, unlike self-reported memory, cannot be deceived.",Psychology,The New Trading for a Living – Elder (2014) | https://procapital.mohdfaiz.com/books/books-image/mainBook/The%20New%20Trading%20for%20a%20Living.pdf
What does Elder say about the psychological trap of mistaking luck for skill?,"Early winning trades, often the result of random luck in a favourable market environment, create a powerful psychological illusion of skill. The trader who believes their first few wins reflect analytical ability rather than market conditions will take progressively larger risks — until the market delivers the losses that expose the illusion. Elder teaches traders to evaluate themselves through long-run statistical evidence, not recent emotional memory.",Psychology,The New Trading for a Living – Elder (2014) | https://procapital.mohdfaiz.com/books/books-image/mainBook/The%20New%20Trading%20for%20a%20Living.pdf
How does Elder use the 'overweight dieter' analogy to describe self-deception in trading?,Elder describes a woman he knew who claimed to be dieting and avoided eating in front of others but consumed large amounts of food in private. He uses this analogy to describe traders who say they will be disciplined but violate rules the moment no one is watching. The self-deception is identical: outward compliance conceals private behaviour that undermines the stated goal.,Psychology,The New Trading for a Living – Elder (2014) | https://procapital.mohdfaiz.com/books/books-image/mainBook/The%20New%20Trading%20for%20a%20Living.pdf
What does Elder say about wishful thinking and its effect on market analysis?,"Wishful thinking corrupts market analysis by making traders see what they want to see rather than what is actually there. A bullish trader 'finds' bullish patterns; a bearish one 'finds' bearish ones. Elder teaches that the antidote is rule-based, objective analysis — writing down specific criteria before looking at the chart, then checking whether those criteria are met, rather than letting emotional desire shape the interpretation.",Psychology,The New Trading for a Living – Elder (2014) | https://procapital.mohdfaiz.com/books/books-image/mainBook/The%20New%20Trading%20for%20a%20Living.pdf
What does Elder say is the psychological difference between an investor and a gambler?,"An investor takes calculated risks based on analytical edge and sound money management, with clearly defined criteria for entry and exit. A gambler takes risks primarily for the emotional experience — the excitement of action and the hope of winning — without regard to the quality of the odds. Elder warns that the market provides the perfect camouflage for gambling behaviour, making it look like investment analysis.",Psychology,The New Trading for a Living – Elder (2014) | https://procapital.mohdfaiz.com/books/books-image/mainBook/The%20New%20Trading%20for%20a%20Living.pdf
What does Elder say about the three types of gamblers and which one describes most failing traders?,"Elder cites psychiatrist Dr. Ralph Greenson's three types: the normal person who gambles occasionally for entertainment, the professional gambler who views it as a business, and the neurotic gambler driven by unconscious compulsive needs. Most failing traders fall into the third category — they experience a compulsive urge to trade, find it difficult to stop, and are unconsciously seeking the emotional high of winning rather than rational long-term profit.",Psychology,The New Trading for a Living – Elder (2014) | https://procapital.mohdfaiz.com/books/books-image/mainBook/The%20New%20Trading%20for%20a%20Living.pdf
What does Elder say about gambling as 'an addiction without a drug'?,"Elder quotes psychiatrist Dr. Sheila Blume's description of gambling as 'an addiction without a drug' to emphasise that compulsive trading can produce the same addictive cycle as substance abuse: the craving for action, the high of a win, the denial of the problem, and the inability to stop despite mounting losses. This framing helps traders recognise patterns in themselves that they might otherwise dismiss as normal market behaviour.",Psychology,The New Trading for a Living – Elder (2014) | https://procapital.mohdfaiz.com/books/books-image/mainBook/The%20New%20Trading%20for%20a%20Living.pdf
How does Elder explain why trading is 'the most dangerous human endeavour short of war' psychologically?,"Most professions include colleagues, managers, or clients who provide informal safety nets — warning a person when their behaviour is self-destructive. Trading has no such external protection. Every other market participant is actively trying to take your money. This makes the market uniquely merciless: psychological weaknesses that are managed or overlooked in other contexts are punished immediately and financially.",Psychology,The New Trading for a Living – Elder (2014) | https://procapital.mohdfaiz.com/books/books-image/mainBook/The%20New%20Trading%20for%20a%20Living.pdf
What is the 'Demolition Derby' section of Elder's book about psychologically?,"The Demolition Derby section explains that trading is like a highway where everyone is actively trying to crash into each other. Unlike driving, where road users try to avoid collisions because crashes harm both parties, in trading one party's gain is another's loss. This adversarial reality means a trader's psychological weaknesses — impatience, overconfidence, fear — are immediately exploited by more experienced participants.",Psychology,Bookey – Trading for a Living Chapter Summary | https://www.bookey.app/book/trading-for-a-living
What does Elder say about the psychological pattern of blaming external factors for losses?,"Elder identifies external blame — attributing losses to bad brokers, market manipulation, economic news, or bad luck — as the primary defence mechanism of losing traders. It protects the ego from the uncomfortable recognition that the cause of persistent losses lies within the trader's own behaviour. Until this defence is overcome and personal responsibility is accepted, genuine improvement is impossible.",Psychology,The New Trading for a Living – Elder (2014) | https://procapital.mohdfaiz.com/books/books-image/mainBook/The%20New%20Trading%20for%20a%20Living.pdf
What psychological story does Elder tell about the trader who kept losing despite correct analysis?,"Elder describes a prominent trader whose equity was being destroyed by a dollar rally while he was heavily short. This trader had grown up fighting an abusive, domineering father and had made his reputation betting against established trends. Elder's analysis was that the trader could not admit the market — which unconsciously represented his father — was bigger and stronger than he was. He kept adding to his short position because psychologically he could not accept defeat.",Psychology,The New Trading for a Living – Elder (2014) | https://procapital.mohdfaiz.com/books/books-image/mainBook/The%20New%20Trading%20for%20a%20Living.pdf
How does Elder connect childhood psychology to adult trading behaviour?,"Elder explicitly warns that mental baggage from childhood — unresolved conflicts, patterns of self-defeat, authority issues, compulsive behaviour — plays out in the markets. The trader who grew up learning that taking a loss means personal failure will hold losers indefinitely; the one who learned impulsivity will overtrade; the one with authority issues will defy market signals that symbolically represent rules. The trading journal is one tool for identifying these deep patterns.",Psychology,The New Trading for a Living – Elder (2014) | https://procapital.mohdfaiz.com/books/books-image/mainBook/The%20New%20Trading%20for%20a%20Living.pdf
What is the parallel Elder draws between alcoholism and losing trading?,"Elder draws an extended parallel between alcoholics and losing traders. Both deny the problem despite mounting evidence; both switch tactics (from whiskey to beer, from one system to another) rather than addressing the root behaviour; both experience a compulsive urge they cannot resist; and both need to 'hit rock bottom' before they are ready to confront the real cause of their failure. The insight that allowed Elder to apply AA's recovery framework directly to trading.",Psychology,The New Trading for a Living – Elder (2014) | https://procapital.mohdfaiz.com/books/books-image/mainBook/The%20New%20Trading%20for%20a%20Living.pdf
What is the 'Losers Anonymous' concept Elder proposes?,"'Losers Anonymous' is Elder's metaphorical self-help framework for traders who recognise they have been trading compulsively and self-destructively. Just as AA's first step requires admitting powerlessness over alcohol, Elder's first step for the losing trader is admitting: 'Good morning, my name is [X] and I am a loser. I have it in me to do serious financial damage to my account.' This honest acknowledgement is the prerequisite for any genuine change.",Psychology,Collin Seow – Book Review: Trading for a Living (Part 1) | https://www.collinseow.com/book-review-trading-for-living-1/
What is the key lesson Elder took from attending an Alcoholics Anonymous meeting?,"Elder attended an open AA meeting and was struck by the realisation that if he substituted the word 'loss' for 'alcohol' in every sentence, the members seemed to be describing his own trading struggles exactly. He left with the insight that his trading losses needed to be managed the way AA manages alcoholism: through strict rules, honest self-assessment, peer accountability, and incremental daily discipline.",Psychology,The New Trading for a Living – Elder (2014) | https://procapital.mohdfaiz.com/books/books-image/mainBook/The%20New%20Trading%20for%20a%20Living.pdf
What is the 'First Step' of AA and how does Elder apply it to trading?,"AA's First Step requires admitting powerlessness over alcohol and acknowledging that one's life has become unmanageable. Elder applies this directly: the losing trader must admit powerlessness over the impulse to trade compulsively, and acknowledge that their trading account has become unmanageable. Only after this honest admission — which most traders resist vigorously — can the process of genuine change begin.",Psychology,The New Trading for a Living – Elder (2014) | https://procapital.mohdfaiz.com/books/books-image/mainBook/The%20New%20Trading%20for%20a%20Living.pdf
What does Elder mean by 'rock bottom' for a trader?,"A trader hits rock bottom when accumulated losses, humiliation, and pain finally penetrate their denial — when they can no longer pretend the problem is external and must confront that the problem lies within their own behaviour. Some traders hit rock bottom after a few weeks; others spend years adding money to their accounts to postpone the reckoning. Elder regards this painful moment as a potential turning point: the threshold of genuine transformation.",Psychology,The New Trading for a Living – Elder (2014) | https://procapital.mohdfaiz.com/books/books-image/mainBook/The%20New%20Trading%20for%20a%20Living.pdf
What is the psychological significance of 'one day at a time' for traders according to Elder?,The AA slogan 'one day at a time' translates directly to trading discipline. Planning to follow rules perfectly for a trading career can seem overwhelming; planning to follow rules perfectly today is achievable. Elder advocates this incremental framing because it reduces the psychological burden of long-term commitment to manageable daily units — and because each successfully disciplined day builds the habit that makes the next day easier.,Psychology,The New Trading for a Living – Elder (2014) | https://procapital.mohdfaiz.com/books/books-image/mainBook/The%20New%20Trading%20for%20a%20Living.pdf
What does Elder say about denial in the context of losing traders?,"Elder identifies denial as the central psychological mechanism that keeps losing traders in their destructive pattern. Just as an alcoholic denies that drinking controls their life even as it destroys everything around them, a losing trader denies that their emotional behaviour — not external factors — is responsible for their losses. The wall of denial cannot be penetrated by logic or other people's advice; it yields only to the pain of sufficient loss.",Psychology,The New Trading for a Living – Elder (2014) | https://procapital.mohdfaiz.com/books/books-image/mainBook/The%20New%20Trading%20for%20a%20Living.pdf
Why does Elder say switching from one trading system to another is like an alcoholic switching from whiskey to beer?,Switching systems addresses the symptom (the specific method used) while leaving the root cause intact (the emotional behaviour that misapplies any method). An alcoholic who switches drinks remains an alcoholic; a trader who switches systems while maintaining the same emotional patterns remains a losing trader. The system is never the primary problem; the psychology is.,Psychology,The New Trading for a Living – Elder (2014) | https://procapital.mohdfaiz.com/books/books-image/mainBook/The%20New%20Trading%20for%20a%20Living.pdf
What does Elder say about the 'urge to trade' as analogous to addiction?,"Elder identifies the compulsive urge to be in the market — to place a trade simply because time has passed or because action feels necessary — as equivalent to an addict's craving. Just as an alcoholic cannot stop at one drink, the compulsive trader cannot stop at a planned number of trades. The 6% Rule's forced monthly pause is Elder's practical mechanism for interrupting this addictive cycle.",Psychology,The New Trading for a Living – Elder (2014) | https://procapital.mohdfaiz.com/books/books-image/mainBook/The%20New%20Trading%20for%20a%20Living.pdf
What does Elder say about the psychological similarities between losing traders and alcoholics?,"Elder lists the following shared patterns: both deny the problem while their lives deteriorate; both try to manage the unmanageable; both hide evidence of their behaviour (alcoholics hide bottles; traders throw away brokerage statements); both try to recover the high by intensifying the behaviour (drinking more, trading larger); and both need external rules to impose the limits they cannot impose on themselves.",Psychology,The New Trading for a Living – Elder (2014) | https://procapital.mohdfaiz.com/books/books-image/mainBook/The%20New%20Trading%20for%20a%20Living.pdf
How does Elder recommend a trader use the AA principles in practice?,"Elder recommends that traders on a losing streak attend an open AA meeting — not because they are necessarily alcoholics, but because hearing the identical psychological patterns described in a different context provides a jolt of recognition that can cut through denial. The specific recommendations are: admit powerlessness over the compulsive urge; make a daily decision to trade according to rules; keep a diary as a form of personal inventory; and maintain accountability to a trading partner or mentor.",Psychology,The New Trading for a Living – Elder (2014) | https://procapital.mohdfaiz.com/books/books-image/mainBook/The%20New%20Trading%20for%20a%20Living.pdf
What is the psychological function of trading rules according to Elder?,"Trading rules serve the same psychological function as AA's 12 steps: they provide a structure that removes certain decisions from the realm of emotional discretion. When the rule says 'exit when the stop is hit,' the trader does not need to make that decision in the heat of the moment — it was already made. Rules convert potentially emotional decisions into automatic responses, reducing the psychological load at the most vulnerable moments.",Psychology,The New Trading for a Living – Elder (2014) | https://procapital.mohdfaiz.com/books/books-image/mainBook/The%20New%20Trading%20for%20a%20Living.pdf
What does Elder say about the psychological profile of a chronic loser?,The chronic loser: keeps no records and avoids reviewing losses; switches from system to system looking for an external solution; blames losses on external factors; doubles down on losing positions to recover the position; experiences a gambler's high from trading activity itself; and hits rock bottom repeatedly without changing the underlying behaviour. Elder's framework is explicitly designed to interrupt this pattern at the level of daily habits rather than grand intentions.,Psychology,The New Trading for a Living – Elder (2014) | https://procapital.mohdfaiz.com/books/books-image/mainBook/The%20New%20Trading%20for%20a%20Living.pdf
What does 'hitting rock bottom' psychologically enable a trader to do?,"Hitting rock bottom — when the pain of continued self-destructive trading exceeds the psychological cost of confronting it — enables the trader to take Elder's equivalent of AA's first step: genuine, non-defensive acknowledgement of the problem. Without this painful recognition, the mind's defences remain intact, rationalising each new loss and preventing the behavioural change that recovery requires.",Psychology,The New Trading for a Living – Elder (2014) | https://procapital.mohdfaiz.com/books/books-image/mainBook/The%20New%20Trading%20for%20a%20Living.pdf
How does Elder describe the recovery process for a psychologically damaged trader?,Elder's recovery process mirrors the AA model: (1) honest acknowledgment of the problem; (2) acceptance of personal responsibility rather than external blame; (3) adoption of a structured daily routine based on rules; (4) use of the trading journal as a daily inventory of behaviour and emotions; (5) gradual rebuilding of the account at reduced size to practice disciplined execution without the pressure of large financial stakes.,Psychology,Bookey – Trading for a Living Chapter Summary | https://www.bookey.app/book/trading-for-a-living
What does Elder say about the psychological function of the daily morning ritual for traders?,Elder endorses the 'Losers Anonymous' daily affirmation — acknowledging one's capacity for self-destructive trading at the start of each session — as a psychological priming exercise. This momentary daily confrontation with one's vulnerabilities interrupts the complacency that leads to rule violations. It reactivates the disciplines learned and reminds the trader that the battle with their own impulses is ongoing.,Psychology,Collin Seow – Book Review: Trading for a Living (Part 1) | https://www.collinseow.com/book-review-trading-for-living-1/
What does Elder say about the risk of the first few winning trades for a recovering loser?,"Elder warns that a string of winning trades after a period of disciplined recovery is itself a psychological danger. Success breeds the same overconfidence that originally destroyed the account. The recovering trader must treat a winning streak with the same discipline as a losing one — maintaining position size, following rules, and resisting the temptation to conclude that the psychological work is done.",Psychology,The New Trading for a Living – Elder (2014) | https://procapital.mohdfaiz.com/books/books-image/mainBook/The%20New%20Trading%20for%20a%20Living.pdf
How does Elder apply AA's concept of 'character defects' to trading failures?,"AA's character defects — the patterns of thinking and feeling that make healthy relationships and self-management difficult — translate directly to trading defects: arrogance, denial, impulsivity, dishonesty with oneself, the inability to tolerate uncertainty or loss. Elder teaches that identifying and working on these defects, through honest journaling and systematic rule-following, is the essential psychological work of becoming a professional trader.",Psychology,The New Trading for a Living – Elder (2014) | https://procapital.mohdfaiz.com/books/books-image/mainBook/The%20New%20Trading%20for%20a%20Living.pdf
What does Elder say about the emotional states that should trigger an immediate trading halt?,"Elder states clearly: 'If you become aware of fear, greed, or a gambler's high, close your trades.' These emotional states impair judgment irreversibly for the duration of the session. The rational response is not to try to override the emotion but to remove the financial stake — exit all positions and disengage from the screen until emotional equilibrium is restored.",Psychology,The New Trading for a Living – Elder (2014) | https://procapital.mohdfaiz.com/books/books-image/mainBook/The%20New%20Trading%20for%20a%20Living.pdf
What is the psychological insight Elder gained from his personal trading crisis that changed his approach?,"Elder describes running his trading account into the ground multiple times before the breakthrough insight: 'the key to winning was inside my head and not inside a computer.' Up to that point he had searched for better systems, better indicators, and better data. The recognition that his psychology — not his method — was the limiting factor is the central pivot of his entire trading philosophy.",Psychology,Elder.com – About Dr. Elder | https://www.elder.com/about
What is Elder's definition of the financial market from a psychological perspective?,"Elder defines the market not as a mathematical system or a rational pricing mechanism but as a crowd of people — each acting on their individual fear, greed, hope, and panic. Every price tick represents the momentary consensus of this crowd. Technical analysis, in Elder's framework, is applied social psychology: reading the collective emotional state of all market participants at any given moment.",Psychology,The New Trading for a Living – Elder (2014) | https://procapital.mohdfaiz.com/books/books-image/mainBook/The%20New%20Trading%20for%20a%20Living.pdf
What does Elder mean when he says 'technical analysis is a study of mass psychology'?,Elder teaches that charts do not record abstract mathematical patterns — they record the decisions of real people made under conditions of uncertainty and emotional pressure. Moving averages reflect the crowd's average opinion of value; oscillators reflect its emotional extremes of greed and fear; divergences reveal moments when the crowd is becoming internally inconsistent. Understanding this makes the chart reader a student of group behaviour rather than a mathematical forecaster.,Psychology,The New Trading for a Living – Elder (2014) | https://procapital.mohdfaiz.com/books/books-image/mainBook/The%20New%20Trading%20for%20a%20Living.pdf
How does Elder explain why prices move?,"Elder states that prices move up or down because of changes in the intensity of greed and fear among buyers and sellers — not because there are more buyers than sellers in terms of quantity (the number of stocks bought and sold is always equal). A price advances when buyers are more intensely motivated than sellers, even if equal in number. This psychological intensity, not arithmetic supply and demand, is the force that moves markets.",Psychology,Goodreads – Trading for a Living (community reviews & quotes) | https://www.goodreads.com/book/show/104311.Trading_for_a_Living
